tahun,periode_bulan,bps_kode_provinsi,bps_nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_jumlah_penduduk,satuan,persentase_jumlah_penduduk_miskin
2017,Maret,11,Aceh,1113,Kabupaten Gayo Lues,19.91,Ribu Jiwa,21.97
2017,Maret,11,Aceh,1114,Kabupaten Aceh Tamiang,42.01,Ribu Jiwa,14.69
2017,Maret,11,Aceh,1115,Kabupaten Nagan Raya,31.06,Ribu Jiwa,19.34
2017,Maret,11,Aceh,1116,Kabupaten Aceh Jaya,13.23,Ribu Jiwa,14.85
2017,Maret,11,Aceh,1117,Kabupaten Bener Meriah,29.99,Ribu Jiwa,21.14
2017,Maret,11,Aceh,1118,Kabupaten Pidie Jaya,33.6,Ribu Jiwa,21.82
2017,Maret,11,Aceh,1171,Kota Banda Aceh,19.23,Ribu Jiwa,7.44
2017,Maret,11,Aceh,1172,Kota Sabang,5.98,Ribu Jiwa,17.66
2017,Maret,11,Aceh,1173,Kota Langsa,19.2,Ribu Jiwa,11.24
2017,Maret,11,Aceh,1174,Kota Lhokseumawe,24.4,Ribu Jiwa,12.32
2017,Maret,11,Aceh,1175,Kota Subulussalam,15.44,Ribu Jiwa,19.71
2018,Maret,11,Aceh,1101,Kabupaten Simeulue,18.22,Ribu Jiwa,19.78
2018,Maret,11,Aceh,1102,Kabupaten Aceh Singkil,25.74,Ribu Jiwa,21.25
2018,Maret,11,Aceh,1103,Kabupaten Aceh Selatan,32.82,Ribu Jiwa,14.01
2018,Maret,11,Aceh,1104,Kabupaten Aceh Tenggara,30.2,Ribu Jiwa,14.29
2018,Maret,11,Aceh,1105,Kabupaten Aceh Timur,61.64,Ribu Jiwa,14.49
2018,Maret,11,Aceh,1106,Kabupaten Aceh Tengah,32.31,Ribu Jiwa,15.58
2018,Maret,11,Aceh,1107,Kabupaten Aceh Barat,39.56,Ribu Jiwa,19.31
2018,Maret,11,Aceh,1108,Kabupaten Aceh Besar,60.08,Ribu Jiwa,14.47
2018,Maret,11,Aceh,1109,Kabupaten Pidie,89.53,Ribu Jiwa,20.47
2018,Maret,11,Aceh,1110,Kabupaten Bireuen,65.74,Ribu Jiwa,14.31
2018,Maret,11,Aceh,1111,Kabupaten Aceh Utara,111.27,Ribu Jiwa,18.27
2018,Maret,11,Aceh,1112,Kabupaten Aceh Barat Daya,25.23,Ribu Jiwa,17.1
2018,Maret,11,Aceh,1113,Kabupaten Gayo Lues,19.09,Ribu Jiwa,20.7
2018,Maret,11,Aceh,1114,Kabupaten Aceh Tamiang,41.21,Ribu Jiwa,14.21
